bp,rank,score,ts,uptime_score
B62qjok2BD2jB6TArVM1oGDSo16xk1SYGzTwZSjx63WbtZy4BuzPBDj,176,6260,2021-05-22 11:26:39.362277,69.91 %
B62qriA1rqpkBS338FEgr3Gd8jL1tqxj6d1Vgtr5WH9n4YRBLrstE9D,177,6151,2021-05-22 11:26:39.362277,68.69 %
B62qkxZba8d9MWL9nXRvMaGJXESxHbkLhfogtqsCXKs8ueSZkhJNboQ,178,6147,2021-05-22 11:26:39.362277,68.64 %
B62qj8KB2fk59NkV4VuoTkVXHjw8VJzC3ybKrWo7zuDC9xTiWXPygEe,179,6023,2021-05-22 11:26:39.362277,67.26 %
B62qp8PCgNSzawdhooGXPQhULtZ4yhNzMb4UVSd3sTLz5tR8Btdtqn5,180,5920,2021-05-22 11:26:39.362277,66.11 %
B62qoo7juS8X4i59TJ2iV4p7ogHqBwwuMC9VfsQFSNjZgZpNmGw58dJ,181,5853,2021-05-22 11:26:39.362277,65.36 %
B62qnGLiPNy2WEC2QRxJq4neyPKScUnQNEV4pRaMgYkgf8PcCKb55y7,182,5841,2021-05-22 11:26:39.362277,65.23 %
B62qnd1rPUp4aBpjVjCJ3XLXk64WxuM9ff3UkfZoRCkBF8vcyFnXNTs,183,5742,2021-05-22 11:26:39.362277,64.12 %
B62qixi4dP7DcKdTNcK8jobtv9qKFjxf7ZgZVoQcJXVXkeAULe3hT5E,184,5732,2021-05-22 11:26:39.362277,64.01 %
B62qjXTW7dMAWwRTnJD4U8HwN4ii5t17UnGANbhtzenJTBWSDESbQEw,185,5703,2021-05-22 11:26:39.362277,63.69 %
B62qrQ4m3KNeNBsC86AW1vyXxEs32NbG2pDA2mdvCq5erxLqftVyZTj,186,5670,2021-05-22 11:26:39.362277,63.32 %
B62qjWwDxk5nGMXN32ffuMpMSp3wPa7BLB3AXHH5EYiczcRxDTF9uP4,187,5565,2021-05-22 11:26:39.362277,62.14 %
B62qqK6M9q1eE8MNnmeGytCUhgY3nq83hMxstjtcyqiEGuNMTvjNDHW,188,5471,2021-05-22 11:26:39.362277,61.09 %
B62qjgMVvo1JTaG6u1pBFNzvPGivGTUeq6TtbauypeVybojD5JdWjvW,189,5365,2021-05-22 11:26:39.362277,59.91 %
B62qr2mdhKQAJb3nSwHJsvubaexz6S41PHTtuDbvqCgp7d6Wx9C4A5z,190,5311,2021-05-22 11:26:39.362277,59.31 %
B62qngGSkaZCutEntH6Qu7V2g7waodEDfjars9VRf591oAxvpUW9Mzd,191,5267,2021-05-22 11:26:39.362277,58.82 %
B62qrPLQL66L4BKeCFeypQHcAmKCcjtEr765o78xUJE335puxC9NViD,192,5111,2021-05-22 11:26:39.362277,57.07 %
B62qqhZioGPLYePnwCFUqQd7WoHu3TTmZVAvwoh61xnC6VcWNqLMsCp,193,5108,2021-05-22 11:26:39.362277,57.04 %
B62qjp6bK1jLdWVUXvnrhKmfuAuvLSMtCyysKEKVxewrL315BSPeMP7,194,4990,2021-05-22 11:26:39.362277,55.72 %
B62qq6ZYPG5JsjZnGJ3pADmRn6hU6qy13EhraTSymjSgyEDwoDR9Gd6,195,4990,2021-05-22 11:26:39.362277,55.72 %
B62qjqtLRExnb2fyMiBpv6nC1ckGuBrCY9mXtTTcf5x7GD3CG6sU3Ad,196,4933,2021-05-22 11:26:39.362277,55.09 %
B62qmXMMTUuKDEwY4THkgX6fvDtujGNP3FMdiaWwSHkMsMM9NzwPXZ1,197,4914,2021-05-22 11:26:39.362277,54.87 %
B62qmcoErjsDd1XNsxpjPC7GUDYug7ersa9f2Si4jdD9Yom9N8z6578,198,4834,2021-05-22 11:26:39.362277,53.98 %
B62qnvKLdq3j46nuQML7govR1gNqfBjHtv86FzmfrAU9NPGd9BSzooh,199,4803,2021-05-22 11:26:39.362277,53.63 %
B62qjmReWEeTVAM9btVNBvzs4XPod6SkCAw73t1pJnLddrUg1cP6FaP,200,4752,2021-05-22 11:26:39.362277,53.07 %
B62qpaqLZv6tca6KytUsgkBoQxCRc7cMRVkVYCWjyUFGegS9cwD676v,201,4733,2021-05-22 11:26:39.362277,52.85 %
B62qqaGu2Hz6122My8Ddxj5WPgQd1tVLmXXJioxa7Wm5m5VJPzoZdhc,202,4710,2021-05-22 11:26:39.362277,52.60 %
B62qkueeFHtVMTKbwr13eWEMZmW5gYgeKZiGoAJM1qTs6oxAZKiNJTT,203,4571,2021-05-22 11:26:39.362277,51.04 %
B62qnUwCFGxywYr6rxq9Zgktbm3Jc5hdTChnwbjM2goJ4XLctZXWwp9,204,4569,2021-05-22 11:26:39.362277,51.02 %
B62qpLeuZDL7PxNsCqsJwWFPAmnixi5ay8Kz9NcNGBQU8jK19VpJQaY,205,4567,2021-05-22 11:26:39.362277,51.00 %
B62qkXQoFvTuTH7ARfihY8XmsUi5AfCpZgjmeQnf7bj81oTdT4GCsh9,206,4523,2021-05-22 11:26:39.362277,50.51 %
B62qpXqPzauUXLnsAQFnYHMCiV9pRqG2wqbJ4pL936SVANHa66zkkQj,207,4378,2021-05-22 11:26:39.362277,48.89 %
B62qmdsqUB7b3GYTWmCTGSioxMKeSesj4JrcRQRmmPRqwTtTo6xdYDz,208,4362,2021-05-22 11:26:39.362277,48.71 %
B62qrafvvcSTkGMpFiprxzDN8JXqoiyHSUQwUsKbRqrvTK1khb1HJyC,209,4353,2021-05-22 11:26:39.362277,48.61 %
B62qmTYWQUM5V1r9HT5wVPVYgWpotezECEgciGAXJFFGJKzNZpzH3Fz,210,4306,2021-05-22 11:26:39.362277,48.08 %
B62qr35VemrmyyCyZaF7buCDvmhvyGZyxVcvJkEikGKruB5KLxgLNv9,211,4223,2021-05-22 11:26:39.362277,47.16 %
B62qqyvaakwp9QM8FUt1nT3aEXELZjZAJbTTqf5HJz4Mjy1cFQfBVww,212,4209,2021-05-22 11:26:39.362277,47.00 %
B62qrcpCwQNeFJvUru1fdVBWCfTWae6n7WcAacgxKE7W5gKAXyTV8yv,213,4065,2021-05-22 11:26:39.362277,45.39 %
B62qrLFnh5BWLjHmsnrX9ABW9QVRDe237VKXQ3EobeXDqsLyY2iQD9g,214,4023,2021-05-22 11:26:39.362277,44.92 %
B62qqgLQoPgy9YzsVKwB1KBuyB62TiQJYawDubnhf5gewKJo9qrKdnG,215,4001,2021-05-22 11:26:39.362277,44.68 %
B62qmHXHN1torRGxgZGYMLuUJ15mdAmAAaf9F6SZXBHSwPEEaH2wq3a,216,3999,2021-05-22 11:26:39.362277,44.66 %
B62qkdJ8Gh1BkhsA286W9hQY2Nckfy3yFPZE1HSwnp3ZsRe9G7UfCQJ,217,3868,2021-05-22 11:26:39.362277,43.19 %
B62qpzWppkJex4Hx7Y6rSq8yH9JMaGc8R1b3nkSjH3mk3aYKNyX6DKW,218,3864,2021-05-22 11:26:39.362277,43.15 %
B62qiwgNcH1uw76xgqJMb4V1nuD91qbxrQGWay96u9TBkgPb4HxRJeX,219,3851,2021-05-22 11:26:39.362277,43.00 %
B62qqSvXBa1cdTsARTVZrnJreCDdEy162q7axsf3QfjWzZCKfrU6JoM,220,3809,2021-05-22 11:26:39.362277,42.53 %
B62qoahjAyUBNcXBn8HTb7Rk48sBzfZnjDa592MqjCnMXeWpFkGS6zJ,221,3745,2021-05-22 11:26:39.362277,41.82 %
B62qrcQDeAfg2qSnZhdF8wQ78G9QmKNDqpESVt2SL43F97kF3Cyv32a,222,3733,2021-05-22 11:26:39.362277,41.69 %
B62qrV2oyYf84jZbQHdqH2TyUndafsL134WMpf5yDafmQ6ZGMxUiTmF,223,3714,2021-05-22 11:26:39.362277,41.47 %
B62qqoBaTeqq6K5kpPEBh22HHq2BJ3ukegb4csDDoyoaFzdpgKLidYS,224,3707,2021-05-22 11:26:39.362277,41.40 %
B62qjwAoLA1iT82EQQidZDDovQND5PeJtmcZXq7USbNDGEqgYnBbKam,225,3683,2021-05-22 11:26:39.362277,41.13 %
B62qnWoaKTphJw86hzvBWckm9S1t5iGcybhRD5M9c8G8rCYxTTwALCx,226,3647,2021-05-22 11:26:39.362277,40.73 %
B62qrHzjcZbYSsrcXVgGko7go1DzSEBfdQGPon5X4LEGExtNJZA4ECj,227,3631,2021-05-22 11:26:39.362277,40.55 %
B62qrawWiZbmyrJaB94CVpi8Fmd3Lxw5m3tbXo97hKJkZPkn4dHe6G8,228,3620,2021-05-22 11:26:39.362277,40.42 %
B62qnE1JLRhrYRoqvuwkCdNui1LpcRj5H29FptwbUQvau7xNMEAcaf5,229,3555,2021-05-22 11:26:39.362277,39.70 %
B62qmo7V7vxx2UdVgnmznQDCkqAnxNQ2kkxfuRgqvRrCEMBgJT1jB1G,230,3520,2021-05-22 11:26:39.362277,39.31 %
B62qmPxwf3FTtb62toALY6k6q4HiCWJCUGP8xyxpDFsgwhFCnHBEQvp,231,3468,2021-05-22 11:26:39.362277,38.73 %
B62qpgrCAbHRjU5UxmGp4VHx7NLqCN3NyNqtrwTMPDFuc9kshBmSUUf,232,3465,2021-05-22 11:26:39.362277,38.69 %
B62qpUXyywHB2yRbgwEfmoUSh3KwN66W8a8QoXqpoTiHJkoQMcgJXbu,233,3463,2021-05-22 11:26:39.362277,38.67 %
B62qo5tnoVeYMWW7EwNHCeUVvBU6ffxog6zJa9CZemj3XBL3adbrQTp,234,3458,2021-05-22 11:26:39.362277,38.62 %
B62qne38nSn1gwHkAn9vPN5SZntgXg3cM5pfuad1zQxFRuvAQmKkGTi,235,3457,2021-05-22 11:26:39.362277,38.60 %
B62qrRVMpryecmWaStfobX2dxRLuWxsbd54jfjZm9DAdBycDic8Ef3h,236,3419,2021-05-22 11:26:39.362277,38.18 %
B62qp89J68LeMpMjZC4aLCz6ezbzbmHqVDo21eFsqjJ6QFv8oohdfkK,237,3413,2021-05-22 11:26:39.362277,38.11 %
B62qjs5cKSTBgFtdwGg5kToxsyCZ12G5qLjqYCmQang8tmmSwHrwGvc,238,3285,2021-05-22 11:26:39.362277,36.68 %
B62qrLf5xV1fdE2RikXzzogaJYhPmWMf75GGSpJSG2yLiE3nM24C2Nd,239,3146,2021-05-22 11:26:39.362277,35.13 %
B62qmrsFZNeW2ReoHpTafy9hy1oNw12UuR1UdGJEUqTuFZ3LPVccDTA,240,3006,2021-05-22 11:26:39.362277,33.57 %
B62qopHVr6nGCsQgrvsBsoxDm1E5CEdMkDSN3jneRnxKpR5iiXnTbas,241,2974,2021-05-22 11:26:39.362277,33.21 %
B62qr61ij8ZPW5BX6GMs4UNW1Ry29Cjbn2Z2LVyLkGJH3JgXJwx2jiC,242,2914,2021-05-22 11:26:39.362277,32.54 %
B62qipA4mZXjXaKHv6GSakqhjpoAa9wZnAKV5X4HyFyy6vz6aqCNYeD,243,2899,2021-05-22 11:26:39.362277,32.37 %
B62qjw8HBV8mb1qsvZSA3x4JwyJp5SG2P3cdmNXSUmUhLkzmXi8H2yL,244,2868,2021-05-22 11:26:39.362277,32.03 %
B62qni2bXsMfr4HnT1RSYob5x6Cz2rP1zUr3sKuMSqrqt9jtJR3se4y,245,2841,2021-05-22 11:26:39.362277,31.73 %
B62qqhHs5hGXumEBYSAbKvC5edPKT6aUzf6XFRsANWq1XHwpJguYosx,246,2812,2021-05-22 11:26:39.362277,31.40 %
B62qo8no6zXZa68SmhqtwtSoKtztQ35oT9S6maRPocuu6jkBr7JWMJg,247,2805,2021-05-22 11:26:39.362277,31.32 %
B62qnd9auTHm61nXmLBLtUJsX2KhMusY87TkGt2cMBM4CP9g8NH6Zw7,248,2801,2021-05-22 11:26:39.362277,31.28 %
B62qmNBDmw5SHf5j76hws5yUJnWxuoLJLo18qKf1AbLEe2bxSBBqSDz,249,2651,2021-05-22 11:26:39.362277,29.60 %
B62qkkAapgA9T5CqRDNM5X5xPuceWsZNdVYDKc3MgMyBvdjivTLDmvy,250,2645,2021-05-22 11:26:39.362277,29.54 %
B62qnsWWJEU7U7XFNLtqH4bKZAMcPK9mr5CeohEuufkV1fT3wgNSV1T,251,2624,2021-05-22 11:26:39.362277,29.30 %
B62qj7tJG5rxdy1hxo2tPo8xJGN3qDHwQdPqq7UMH6xGfhyfUikyKV8,252,2549,2021-05-22 11:26:39.362277,28.46 %
B62qmNM9wRYRw5MdFfjwHCC8egn6aYayeuhVy4fpqFpahb1Zo1Rz3xn,253,2515,2021-05-22 11:26:39.362277,28.08 %
B62qnxHx2ZXjZut1BnpCRiLinjQxH6yLgwGgB5VyuQYWdeum9p3kE3b,254,2505,2021-05-22 11:26:39.362277,27.97 %
B62qrHQbB4jYT1oCtbX3V37GvMSwPSw6oYmYFPYnjYNLdc7rpSdkERD,255,2449,2021-05-22 11:26:39.362277,27.35 %
B62qkAJ1fTysBUA7ZDkCn11H1Uj5yRwqK9SyQkrPrX7egeKzWVT9VbK,256,2439,2021-05-22 11:26:39.362277,27.24 %
B62qrPbHUhxVqe17VwkzTyUmEsFwVry8geJEb7zfBVa8kocYAs2j4nn,257,2432,2021-05-22 11:26:39.362277,27.16 %
B62qnoQLkdjimCnRMsFZMA1GSgLA8HZGzBKxLsVWjRoHdtipcqmH9Bw,258,2373,2021-05-22 11:26:39.362277,26.50 %
B62qpuNrv6pWhSyvkh3mCQQw2WcjEVRFnyGJGcw8QBZ7BexRCmgR8vw,259,2360,2021-05-22 11:26:39.362277,26.35 %
B62qjqYBrf5erL4LHSapiuvcX9TMLCVqCuyzYYGC2sGZfKxt8tQ67Vz,260,2338,2021-05-22 11:26:39.362277,26.11 %
B62qrXynZY4AKszEybHwcx1r9BkrroueBU6nGc2idCHnw5tQEjvpAHi,261,2320,2021-05-22 11:26:39.362277,25.91 %
B62qpvsSnPVqGLX77eVhgRPaEzpk7YB2DDDsyMDAXsWhREbjS64HJp7,262,2314,2021-05-22 11:26:39.362277,25.84 %
B62qig6vbNg3u4dXZccqrSiXiwhomUKKWcvqTnJA4ANy4aUh1Kgd99u,263,2298,2021-05-22 11:26:39.362277,25.66 %
B62qid146JcZD6eSrDt2p9iqrQC6eTxRxYB5HUyg5XpTezsqP73WWRR,264,2228,2021-05-22 11:26:39.362277,24.88 %
B62qrYD5oqNfvrFP84wcgEx31bSDCib2yyx4S7oy1ZQfB7YuhpPeykL,265,2222,2021-05-22 11:26:39.362277,24.81 %
B62qoSTXoK57i8UQ8RecMv592EkTjNQcSWpyVvJ6Ck6xgpBzvUFc6CG,266,2193,2021-05-22 11:26:39.362277,24.49 %
B62qmiJsasogL3iTj2HhSE5AyhN3y5x2GYuvccCBdT1xYB2bpuSHL2P,267,2183,2021-05-22 11:26:39.362277,24.38 %
B62qkQCXhzstenWTCwbGqRgdvivBQEE2WDNRWLRo4gAXcnkQKZ1FAta,268,2170,2021-05-22 11:26:39.362277,24.23 %
B62qn9Xw7796dqjdmPRxzj9BHKjUwtGwovYpWXZ4EsSADVJrBee2pxd,269,2141,2021-05-22 11:26:39.362277,23.91 %
B62qj5W8VBtyVC9j5cgGC3NTXGnQzZt5VYBCc7kMC3jDYciuiXYAngW,270,2094,2021-05-22 11:26:39.362277,23.38 %
B62qmaFPrKeCUSQnQVF1ktEVHjiNaLmu846sM7X3XnZiz6VJDrt4bUq,271,2080,2021-05-22 11:26:39.362277,23.23 %
B62qoD2opNvtWtXYL35pXGrMpnWoSfZmhxLJpC7gpoh3hD9X3LA7B3j,272,2065,2021-05-22 11:26:39.362277,23.06 %
B62qqoxMkEPB2c6idJs9crDb3Buezbph3xsnvm8pQyfwRKv5B5TXhoP,273,2024,2021-05-22 11:26:39.362277,22.60 %
B62qrvWNDUE6HraKjMNFDEZ8eYYaiTCF75CVNUXMsL7DTs4DYjfsmEe,274,1998,2021-05-22 11:26:39.362277,22.31 %
B62qrJowiiRAYWQUrhyieAdFuDJgQ2MoyCqTzotP2ECRVptb63f7bG3,275,1994,2021-05-22 11:26:39.362277,22.27 %
B62qr6SB6kaJAmAiRrWkFoHN9htKh2j7H7UZ3uyTGxtkMXqNqhTEZX1,276,1991,2021-05-22 11:26:39.362277,22.23 %
B62qoa1oVv1uEUUPyPHDc4NHxSb3Lw3XEV7GPcwwuYd3vVSmVV9Jo9P,277,1976,2021-05-22 11:26:39.362277,22.07 %
B62qmQ5ufDZUTz8tm1GVQvmNrn4Don4hXPJ5GFMJpP8VEXkHJCZ9ySW,278,1971,2021-05-22 11:26:39.362277,22.01 %
B62qo3iHrCUfCtxQU9hcHT5kehJsQB32fE6JwMAadSMML8Cg4eTPBpe,279,1971,2021-05-22 11:26:39.362277,22.01 %
B62qpM6uZJgwBf6ahjkYNMD5aJEt3LBHe3wRkNHD5LoxR5EHPKV9zwN,280,1924,2021-05-22 11:26:39.362277,21.49 %
B62qrqVYXRsroeuX7oTLSXEsXg6DziGL1LmJJ4TER4X9rSQHsYBobMn,281,1907,2021-05-22 11:26:39.362277,21.30 %
B62qpNGqChEZYrfDin4vbATAWSQwr8DsRiUSmSNg7jPTPTZXz5GcQLa,282,1839,2021-05-22 11:26:39.362277,20.54 %
B62qqTGc21K1mJo9adVuKwRddiUD5cQxocu2BxaahQGfrQzvWBc7UYv,283,1814,2021-05-22 11:26:39.362277,20.26 %
B62qkkPvTLfyypaVtMNGCiUVfL3Dx2VSZh9R9skGLSDX21yiPBWsX9G,284,1785,2021-05-22 11:26:39.362277,19.93 %
B62qjXYpwjkc45gw6FDk5E4XuL8BB7UxyWH5amUUg4k61bzk1YGHhRh,285,1784,2021-05-22 11:26:39.362277,19.92 %
B62qqENbqWFMAmfH4Vb1xWKJ6v7nLwZbBpPbagUWZzEyGaELPsZDNmy,286,1773,2021-05-22 11:26:39.362277,19.80 %
B62qpsyB3gCndt8sNz4GRwusBtg9U72TNiL4mxmcQfWKZ5noa9fFnWr,287,1769,2021-05-22 11:26:39.362277,19.75 %
B62qooos8xGyqtJGpT7eaoyGrABCf4vcAnzCtxPLNrf26M7FwAxHg1i,288,1723,2021-05-22 11:26:39.362277,19.24 %
B62qjkP9YTQpra5p4ujQ5AYQ9hHxgAmbNTTtwrLSoV5Ewe1vejY2jwe,289,1709,2021-05-22 11:26:39.362277,19.08 %
B62qkBLr1DPC5bv9P2HKaewmekeT5TFA96dcLf5SMe3iL8rTNe9kKBN,290,1655,2021-05-22 11:26:39.362277,18.48 %
B62qojCVaJ3dKYgBUieccF3A3qzVEotn4Qd5k4tNU8QPNgVhZTpLwit,291,1620,2021-05-22 11:26:39.362277,18.09 %
B62qipZRLd721ajkGwx2cHSpXoAzivYdZvesSBfN4GZmBCExUoBgAnB,292,1618,2021-05-22 11:26:39.362277,18.07 %
B62qjRxjfaRVgoqq1EqGMLadeSfKWCVjkRev9rttaTaLirjxs1atU2S,293,1578,2021-05-22 11:26:39.362277,17.62 %
B62qkGT3VBaGQRKfJVhyYf3ydcd6GeX6QKUWrD5vR51c1mLbCV4aDju,294,1577,2021-05-22 11:26:39.362277,17.61 %
B62qkpma8whukuHBYjqJy4qNq2KoADVoyxccrkHDcw7332ifwGSVL56,295,1558,2021-05-22 11:26:39.362277,17.40 %
B62qpPsUkaaWC2VPzY9MBnQtUxYRFCCKHf9uXTZri4duUXGb3F3tmX6,296,1517,2021-05-22 11:26:39.362277,16.94 %
B62qrJreRSCNusj6uYVanrFESuaaBu13Ri44djV6k7HkYNcarKEJBKu,297,1511,2021-05-22 11:26:39.362277,16.87 %
B62qnVc2wA9CWnragB64ztC3tjSt26CVUmZVVyhvqnNEsLza1Esd8KD,298,1506,2021-05-22 11:26:39.362277,16.82 %
B62qnX6nQQuYzgvuvqdxsUpTdrJfXYcGg4CYweeETcRRJ5thVWcDNWm,299,1493,2021-05-22 11:26:39.362277,16.67 %
B62qndKKWw8NwfxbiQBu9u2hrDr2bRZtULC9zNs9R7SC9k47yGZQZ2d,300,1473,2021-05-22 11:26:39.362277,16.45 %
B62qqFesd9ExYwdYqJMcJERPkHoYcSuzsJmb45DJRw5UdsUV4qKvnmP,301,1443,2021-05-22 11:26:39.362277,16.11 %
B62qpuj3Gd7ttM7VD73phKsHydNtDEVJBzGzZNcBMDvp84jHhxHE4T2,302,1423,2021-05-22 11:26:39.362277,15.89 %
B62qrnPdz8HpsDJfGHirDLpVrN2VeyeitdaTKBaccWtHpeVW9Hgwi75,303,1417,2021-05-22 11:26:39.362277,15.82 %
B62qpy8BMXe3tYsFeaTPRNW6yoG8jqaZfqreBXsaDGJ67Cxptn44dSh,304,1398,2021-05-22 11:26:39.362277,15.61 %
B62qo4saj3j5NtLaGHkEV8943eRBuVJJULGmRr9mrfp3tBhdrPLSdH5,305,1390,2021-05-22 11:26:39.362277,15.52 %
B62qnVcbfXr8E47LbyEJ8bYUstdSZ6W8T5aEggM3L12JbVVu4P7nBiv,306,1380,2021-05-22 11:26:39.362277,15.41 %
B62qnZP43nGBLuPDSoNrkWYjWM8FLErG9detdjXwLsHwTUyCo2LyoBe,307,1347,2021-05-22 11:26:39.362277,15.04 %
B62qpKmgwvjEk5HEhMzPaU6Jc1cXm3uPZEqfRdSRkoiYSjohJunapTY,308,1260,2021-05-22 11:26:39.362277,14.07 %
B62qnw28YA69bYkQmcw1nyHHvrTEstpanBkMLjDZyjJE6x53CZ5KmUh,309,1215,2021-05-22 11:26:39.362277,13.57 %
B62qnGf7CGY4iqAfudH1Z47NSeAjFnR9CUUP9mx5zgz2baYHGugmAVd,310,1205,2021-05-22 11:26:39.362277,13.46 %
B62qpNRrR31Z4VGxwNYBnaHsptu15GRScjFnkMcWn3s9mtb3VLt2i1b,311,1194,2021-05-22 11:26:39.362277,13.33 %
B62qoQzP5tqAtqvo8n8jfa12shkWgnZ4MuYpayidabVCkKNWfcyXS8Y,312,1194,2021-05-22 11:26:39.362277,13.33 %
B62qiYicQcKtuSqdDZwFkaMzMCtkPmmFuaPFy6ufp8MtpG3UsHfe2tH,313,1193,2021-05-22 11:26:39.362277,13.32 %
B62qqzuwDk78ePpqDT8AUPkpBEjPHB9EaPc6A4a1WehFSURcxnd6j8k,314,1171,2021-05-22 11:26:39.362277,13.08 %
B62qpScK28kE2CfNgwYQAC4MDKFxVBNxK9SfoDDBdTTwtvt6MCXq3m9,315,1167,2021-05-22 11:26:39.362277,13.03 %
B62qkDqA3eq9t8bLzpm27G9jSpQzgQxYYrhoBf67auBD6hpxFDr4wem,316,1118,2021-05-22 11:26:39.362277,12.48 %
B62qkM6kJHhsSAg7nHgoMUJGQygPXLqfHrRukUyymbY453UVySRUeke,317,1083,2021-05-22 11:26:39.362277,12.09 %
B62qioYv6XhrHUW9CvA1mDW93gCtTY6PA8gKiJLHgpTX7W4ov8FUECX,318,1082,2021-05-22 11:26:39.362277,12.08 %
B62qogWqDwAcZVwXteX11RTtBqL9viVed1Uot55QGeoMx5dUnCVcrZF,319,1075,2021-05-22 11:26:39.362277,12.00 %
B62qnucUMHz7Dw2ReNgWhmR5XCvPeQjJWPReuQ8GwPyY4qj1otGBiKr,320,1054,2021-05-22 11:26:39.362277,11.77 %
B62qrL6nKVcDauhnjFjeneeHr8oF5BNuL2Gb46aC2SVQhHzV2oxG23f,321,1044,2021-05-22 11:26:39.362277,11.66 %
B62qnKxaHF33GChUB3CswW1DzVVWwF2nR3PvTdvzFneAJQ7gaCU2n8X,322,1031,2021-05-22 11:26:39.362277,11.51 %
B62qmcM59yLzAV1t7SBNwY4dWL164w2JVeimJjRWNjH4rD3qeCVnRbW,323,1012,2021-05-22 11:26:39.362277,11.30 %
B62qnjpQq2uPKSsRJU4ivYYvECnY2RbkSDVsoKJn9nFkq2YPu7XazHg,324,987,2021-05-22 11:26:39.362277,11.02 %
B62qq3WS7BeAMu8PtfJjrPYNNz9cJpa6EJTfTkn7pQS1pPddapn2yDV,325,981,2021-05-22 11:26:39.362277,10.95 %
B62qjBxeuwxjcC2XRqw6YQnC5BHt8v7H6LS25iW6D4CKFwGYvCVqTXq,326,979,2021-05-22 11:26:39.362277,10.93 %
B62qigLWBbpoXjsxDQx4zFQofz3DEnfspxX14wAVEnGryv4jg7sPWcF,327,977,2021-05-22 11:26:39.362277,10.91 %
B62qiXa7zUP1YizSAowgUyBXQ9hZZkofrdFm2GGX7zjUvR36T7HSjwR,328,974,2021-05-22 11:26:39.362277,10.88 %
B62qoYVcxsGQWVuPuvU53jCHFnuJ4FLePM8SwkVYNfxboJU5pttpyMf,329,966,2021-05-22 11:26:39.362277,10.79 %
B62qp3PqVZ9pLdwaGvaRCc8NnqRk1TfpJGbsCZp6JxE3PhdajFVDvNH,330,963,2021-05-22 11:26:39.362277,10.75 %
B62qjceYTwKGRigmhy9A1sPZYsvgAxSYmVfkgqC1jUkbpLCsoGWHeXX,331,962,2021-05-22 11:26:39.362277,10.74 %
B62qqZcxyBkzfuvATNj2YmbvMZxtwefwgBVzArEwzkgS4atocFxn5T4,332,961,2021-05-22 11:26:39.362277,10.73 %
B62qigns7u1nxtgxT5H5Keu9QJRhjYeipM3YoGL4CnBHSeqWASqVGAZ,333,930,2021-05-22 11:26:39.362277,10.39 %
B62qn9Av22qKuvvksYE2jyMeaUNZtMwd8aodPhwCurJoiz5n1daioQ5,334,927,2021-05-22 11:26:39.362277,10.35 %
B62qrv4nE63JZsDVswvwZgPqZjGU66DMXZPrGAiDFjuFrLsr5YAJw9o,335,924,2021-05-22 11:26:39.362277,10.32 %
B62qkSashvpHk4t7UL2tMtYMqX1eBUxS6ekx3JLbBPKDNKLjV5mHJZM,336,916,2021-05-22 11:26:39.362277,10.23 %
B62qrQMvZrta9QjfQAmC9JsUjyUWDXX3h18nRt4FZm7wNgj9YPKwM5Z,337,914,2021-05-22 11:26:39.362277,10.21 %
B62qpy6sXLwATHek6wjWKqmDukA7m62rtF1ChoTt1ZMT2po3a4hTW3R,338,899,2021-05-22 11:26:39.362277,10.04 %
B62qoEMS3PDoAzLMyffJ4LTZx3uuqxWFYYLxpX9vBQcZQr1KNXeb5qk,339,885,2021-05-22 11:26:39.362277,9.88 %
B62qr2CgfiqKX2pVNkKTBKnHK8SAwqhHW1KUcszTp5Maivq1inYhRea,340,882,2021-05-22 11:26:39.362277,9.85 %
B62qq8Mr82fvMWchDJRdqWGbD1y4eHrhXBU1L5VzZHgcTwPEX2dndKi,341,843,2021-05-22 11:26:39.362277,9.41 %
B62qoqDEmZYb1qgUnBj3PqxbQYtdi6EbDpyYAq6enrnYJJHGEcpAM8x,342,825,2021-05-22 11:26:39.362277,9.21 %
B62qjUaGVZqZ8iri5r6rSQya6a1jWqyYAQt7JSicLf1sQs9BRCKdskT,343,820,2021-05-22 11:26:39.362277,9.16 %
B62qqJfmQFsqSiheJomVHzLrfdtWyJau7FVNGTJL3PaPqucmYWhWcSb,344,779,2021-05-22 11:26:39.362277,8.70 %
B62qpe129AcY7gPkiNdStKxNtwQC9Y2ZyZCMKGKn6taZGCdTdBtuBYR,345,705,2021-05-22 11:26:39.362277,7.87 %
B62qrW7on9v5z9uZYdtsQeiQVjkFRDZgkRGSVgxGHqcbdCzYwf9vE4k,346,696,2021-05-22 11:26:39.362277,7.77 %
B62qpGVZXaTqNFF5zWaDHsK6eLJLE95JtsfxWcDEy8MdkaDDay5RFHb,347,693,2021-05-22 11:26:39.362277,7.74 %
B62qnXy1f75qq8c6HS2Am88Gk6UyvTHK3iSYh4Hb3nD6DS2eS6wZ4or,348,679,2021-05-22 11:26:39.362277,7.58 %
B62qm2o16xqCCqV5vkfqYEHNNqFSsMx6VK835H8uszpd78bnsTbvQHV,349,660,2021-05-22 11:26:39.362277,7.37 %
B62qpqCBExtxzfHUPkmrrfmYhXZyg3V7pSmwuxHMzTi8E6gBbopauJS,350,650,2021-05-22 11:26:39.362277,7.26 %
B62qpGd5NJe6oLytAypn6gWD5rxeB4TCatLdDfD4k8KQN8NAD1huzMp,351,639,2021-05-22 11:26:39.362277,7.14 %
